000398,华富灵活配置混合
000400,中融增鑫定开债A
000401,中融增鑫定开债C
000402,工银纯债债券A
000403,工银纯债债券B
000404,易方达新兴成长灵活配置
000405,信诚月月支付
000406,汇添富双利增强债券A
000407,汇添富双利增强债券C
000408,民生加银城镇化混合A
000409,鹏华环保产业股票
000410,益民服务领先混合
000411,景顺长城优质成长股票
000412,国开岁月鎏金定开信用债A
000413,国开岁月鎏金定开信用债C
000414,嘉实绝对收益策略定期混合
000415,大摩添利18个月定开债A
000416,大摩添利18个月定开债C
000417,国联安新精选混合
000418,景顺长城成长之星股票
000419,大摩优质信价纯债A
000420,大摩优质信价纯债C
000421,华泰柏瑞丰汇债券A
000422,华泰柏瑞丰汇债券C
000423,前海开源事件驱动混合A
000426,大成信用增利一年债券A
000427,大成信用增利一年债券C
000428,易方达聚盈分级债券发起式
000429,易方达聚盈分级债券发起式A
000430,易方达聚盈分级债券发起式B
000431,鹏华品牌传承混合
000432,中银优秀企业混合
000433,安信鑫发优选混合
000435,建信稳定添利债券A
000436,易方达裕惠定开混合发起式
000452,南方医药保健灵活配置混合
000457,上投摩根核心成长股票
000458,英大领先回报混合发起式
000462,农银主题轮动混合
000463,华商双债丰利债券A
000465,景顺长城鑫月薪定期支付债券
000466,融通通瑞债券A/B
000467,信诚惠报债券A
000469,富国目标齐利一年期纯债债券
000471,富国城镇发展股票
000473,广发集鑫债券A
000474,广发集鑫债券C
000477,广发主题领先混合
000478,建信中证500指数增强A
000479,信诚惠报债券B
000480,东方红新动力混合
000481,华商双债丰利债券C
000489,光大岁末红利纯债A
000490,光大岁末红利纯债C
000496,长安产业精选混合A
000497,财通纯债债券A
000500,华富恒富分级债券
000501,华富恒富18个月定开债C
000502,华富恒富18个月定开债A
000503,中信建投景和中短债A
000504,中信建投景和中短债C
000507,泰达宏利宏达混合A
000508,泰达宏利宏达混合B
000510,诺安永鑫收益一年定开债
000511,国泰国策驱动灵活配置混合A
000512,国泰沪深300指数增强A
000513,富国高端制造行业股票
000516,富国祥利一年期定期开放债券型A
000517,富国祥利一年期定期开放债券型C
000520,上银新兴价值成长混合
000521,诺安瑞鑫定开债券
000522,华润元大信息传媒科技混合
000523,国投瑞银医疗保健混合A
000524,上投摩根民生需求股票
000526,国泰浓益灵活配置混合A
000527,南方新优享灵活配置混合A
000529,广发竞争优势混合
000530,招商丰盛稳定增长混合A
000531,东吴阿尔法灵活配置混合
000532,景顺长城优势企业混合
000534,长盛高端装备混合
000535,长盛航天海工装备灵活配置混合
000536,前海开源可转债债券
000538,诺安优势行业混合A
000541,华商创新成长混合发起式
000545,中邮核心竞争力灵活配置混合
000546,兴业定开债A
000547,建信健康民生混合
000549,华安大国新经济股票
000550,广发新动力混合
000551,信诚幸福消费混合
000552,中加纯债一年A
